代码,买入日期,买入价,股数,卖出日期,卖出价,收益%,盈亏元,市况,退出原因,持有交易日,距60高回撤%,MA60乖离%,RSI
001316,2026-04-22,36.93,400,2026-05-11,43.88,18.8,2778.0,熊市,到期,10,-42.4,-24.9,27.7
002595,2026-04-22,63.14,300,2026-05-11,58.74,-6.98,-1322.0,熊市,到期,10,-38.3,-26.6,28.6
000968,2026-04-23,9.27,1900,2026-05-12,8.26,-10.89,-1919.0,熊市,到期,10,-24.5,-0.2,33.1
002412,2026-04-27,6.24,3800,2026-05-14,6.84,9.7,2300.0,熊市,到期,10,-28.0,-9.6,20.7
000401,2026-05-11,4.3,4100,2026-05-25,3.86,-10.35,-1826.0,牛市,到期,10,-20.6,-12.4,25.9
002019,2026-05-11,11.26,1500,2026-05-25,10.05,-10.75,-1816.0,牛市,到期,10,-24.2,-11.1,16.9
002508,2026-05-12,18.46,900,2026-05-26,17.06,-7.55,-1255.0,牛市,到期,10,-18.6,-9.0,33.1
002639,2026-05-14,18.37,1400,2026-05-28,16.41,-10.66,-2741.0,牛市,到期,10,-21.8,-6.4,31.5
002497,2026-05-25,25.08,600,2026-06-08,20.28,-19.15,-2882.0,熊市,到期,10,-22.1,-3.0,21.0
002734,2026-05-25,16.64,900,2026-06-08,16.12,-3.14,-470.0,熊市,到期,10,-27.6,-10.0,32.9
000035,2026-05-26,6.13,2700,2026-06-09,5.05,-17.61,-2914.0,熊市,到期,10,-29.3,-12.2,32.9
000525,2026-05-28,5.03,4500,2026-06-11,4.4,-12.43,-2814.0,熊市,到期,10,-33.5,-15.2,24.3
002009,2026-06-08,23.93,500,2026-06-23,20.43,-14.65,-1752.0,熊市,到期,10,-20.8,-3.6,29.3
002342,2026-06-08,11.75,1200,2026-06-23,9.38,-20.16,-2843.0,熊市,到期,10,-51.4,-24.4,23.6
000973,2026-06-09,14.63,1000,2026-06-24,15.34,4.8,702.0,熊市,到期,10,-34.7,-16.2,23.2
000912,2026-06-11,3.74,5300,2026-06-26,3.23,-13.52,-2681.0,熊市,到期,10,-44.6,-20.8,32.6
000402,2026-06-23,2.76,3900,2026-07-07,2.36,-14.52,-1564.0,熊市,到期,10,-21.5,-3.9,23.7
000428,2026-06-23,3.39,3100,2026-07-07,3.04,-10.37,-1089.0,熊市,到期,10,-20.6,-9.7,34.1
603682,2026-06-24,7.9,1900,2026-07-08,7.94,0.42,63.0,熊市,到期,10,-19.4,-0.5,29.0
002183,2026-06-26,5.7,3100,2026-07-10,4.81,-15.52,-2740.0,熊市,到期,10,-28.8,-7.7,24.4
000802,2026-07-07,3.67,2500,2026-07-15,3.67,0.03,3.0,熊市,期末强平,6,-33.8,-17.6,27.5
002108,2026-07-07,4.19,2200,2026-07-15,4.28,1.96,181.0,熊市,期末强平,6,-34.9,-18.0,25.6
002348,2026-07-08,11.08,1300,2026-07-15,10.76,-2.84,-409.0,熊市,期末强平,5,-31.7,-7.2,32.5
000889,2026-07-10,3.11,5100,2026-07-15,3.26,4.78,760.0,熊市,期末强平,3,-47.5,-25.6,10.7
